Sr#,Category,Sub-Category,File Name,Extension,Label,Full Path
65,Garbage,No Garbage,Img (37).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (37).jpg
66,Garbage,No Garbage,Img (38).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (38).jpeg
67,Garbage,No Garbage,Img (38).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (38).jpg
68,Garbage,No Garbage,Img (39).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (39).jpeg
69,Garbage,No Garbage,Img (39).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (39).jpg
70,Garbage,No Garbage,Img (4).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (4).jpeg
71,Garbage,No Garbage,Img (4).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (4).jpg
72,Garbage,No Garbage,Img (40).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (40).jpeg
73,Garbage,No Garbage,Img (40).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (40).jpg
74,Garbage,No Garbage,Img (41).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (41).jpeg
75,Garbage,No Garbage,Img (41).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (41).jpg
76,Garbage,No Garbage,Img (42).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (42).jpeg
77,Garbage,No Garbage,Img (42).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (42).jpg
78,Garbage,No Garbage,Img (43).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (43).jpeg
79,Garbage,No Garbage,Img (43).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (43).jpg
80,Garbage,No Garbage,Img (44).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (44).jpeg
81,Garbage,No Garbage,Img (44).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (44).jpg
82,Garbage,No Garbage,Img (45).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (45).jpeg
83,Garbage,No Garbage,Img (45).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (45).jpg
84,Garbage,No Garbage,Img (46).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (46).jpeg
85,Garbage,No Garbage,Img (46).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (46).jpg
86,Garbage,No Garbage,Img (47).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (47).jpeg
87,Garbage,No Garbage,Img (47).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (47).jpg
88,Garbage,No Garbage,Img (48).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (48).jpeg
89,Garbage,No Garbage,Img (48).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (48).jpg
90,Garbage,No Garbage,Img (49).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (49).jpeg
91,Garbage,No Garbage,Img (49).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (49).jpg
92,Garbage,No Garbage,Img (5).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (5).jpeg
93,Garbage,No Garbage,Img (5).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (5).jpg
94,Garbage,No Garbage,Img (50).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (50).jpeg
95,Garbage,No Garbage,Img (50).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (50).jpg
96,Garbage,No Garbage,Img (51).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (51).jpeg
97,Garbage,No Garbage,Img (51).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (51).jpg
98,Garbage,No Garbage,Img (52).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (52).jpeg
99,Garbage,No Garbage,Img (52).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (52).jpg
100,Garbage,No Garbage,Img (53).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (53).jpeg
101,Garbage,No Garbage,Img (53).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (53).jpg
102,Garbage,No Garbage,Img (54).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (54).jpeg
103,Garbage,No Garbage,Img (54).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (54).jpg
104,Garbage,No Garbage,Img (55).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (55).jpeg
105,Garbage,No Garbage,Img (55).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (55).jpg
106,Garbage,No Garbage,Img (56).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (56).jpeg
107,Garbage,No Garbage,Img (56).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (56).jpg
108,Garbage,No Garbage,Img (57).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (57).jpeg
109,Garbage,No Garbage,Img (57).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (57).jpg
110,Garbage,No Garbage,Img (58).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (58).jpeg
111,Garbage,No Garbage,Img (58).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (58).jpg
112,Garbage,No Garbage,Img (59).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (59).jpeg
113,Garbage,No Garbage,Img (59).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (59).jpg
114,Garbage,No Garbage,Img (6).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (6).jpeg
115,Garbage,No Garbage,Img (6).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (6).jpg
116,Garbage,No Garbage,Img (60).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (60).jpeg
117,Garbage,No Garbage,Img (60).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (60).jpg
118,Garbage,No Garbage,Img (61).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (61).jpeg
119,Garbage,No Garbage,Img (61).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (61).jpg
120,Garbage,No Garbage,Img (62).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (62).jpeg
121,Garbage,No Garbage,Img (62).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (62).jpg
122,Garbage,No Garbage,Img (63).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (63).jpeg
123,Garbage,No Garbage,Img (63).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (63).jpg
124,Garbage,No Garbage,Img (64).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (64).jpeg
125,Garbage,No Garbage,Img (64).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (64).jpg
126,Garbage,No Garbage,Img (65).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (65).jpeg
127,Garbage,No Garbage,Img (65).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (65).jpg
128,Garbage,No Garbage,Img (66).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (66).jpeg
129,Garbage,No Garbage,Img (66).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (66).jpg
130,Garbage,No Garbage,Img (67).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (67).jpeg
131,Garbage,No Garbage,Img (67).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (67).jpg
132,Garbage,No Garbage,Img (68).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (68).jpeg
133,Garbage,No Garbage,Img (68).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (68).jpg
134,Garbage,No Garbage,Img (69).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (69).jpeg
135,Garbage,No Garbage,Img (69).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (69).jpg
136,Garbage,No Garbage,Img (7).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (7).jpeg
137,Garbage,No Garbage,Img (7).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (7).jpg
138,Garbage,No Garbage,Img (70).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (70).jpeg
139,Garbage,No Garbage,Img (70).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (70).jpg
140,Garbage,No Garbage,Img (71).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (71).jpeg
141,Garbage,No Garbage,Img (71).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (71).jpg
142,Garbage,No Garbage,Img (72).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (72).jpeg
143,Garbage,No Garbage,Img (72).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (72).jpg
144,Garbage,No Garbage,Img (73).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (73).jpeg
145,Garbage,No Garbage,Img (73).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (73).jpg
146,Garbage,No Garbage,Img (74).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (74).jpeg
147,Garbage,No Garbage,Img (74).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (74).jpg
148,Garbage,No Garbage,Img (75).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (75).jpeg
149,Garbage,No Garbage,Img (75).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (75).jpg
150,Garbage,No Garbage,Img (76).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (76).jpeg
151,Garbage,No Garbage,Img (76).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (76).jpg
152,Garbage,No Garbage,Img (77).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (77).jpeg
153,Garbage,No Garbage,Img (77).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (77).jpg
154,Garbage,No Garbage,Img (78).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (78).jpeg
155,Garbage,No Garbage,Img (78).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (78).jpg
156,Garbage,No Garbage,Img (79).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (79).jpeg
157,Garbage,No Garbage,Img (79).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (79).jpg
158,Garbage,No Garbage,Img (8).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (8).jpeg
159,Garbage,No Garbage,Img (8).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (8).jpg
160,Garbage,No Garbage,Img (80).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (80).jpeg
161,Garbage,No Garbage,Img (80).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (80).jpg
162,Garbage,No Garbage,Img (81).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (81).jpeg
163,Garbage,No Garbage,Img (81).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (81).jpg
164,Garbage,No Garbage,Img (82).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (82).jpeg
165,Garbage,No Garbage,Img (82).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (82).jpg
166,Garbage,No Garbage,Img (83).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (83).jpeg
167,Garbage,No Garbage,Img (83).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (83).jpg
168,Garbage,No Garbage,Img (84).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (84).jpeg
169,Garbage,No Garbage,Img (84).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (84).jpg
170,Garbage,No Garbage,Img (85).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (85).jpeg
171,Garbage,No Garbage,Img (85).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (85).jpg
172,Garbage,No Garbage,Img (86).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (86).jpeg
173,Garbage,No Garbage,Img (86).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (86).jpg
174,Garbage,No Garbage,Img (87).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (87).jpeg
175,Garbage,No Garbage,Img (87).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (87).jpg
176,Garbage,No Garbage,Img (88).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (88).jpeg
177,Garbage,No Garbage,Img (88).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (88).jpg
178,Garbage,No Garbage,Img (89).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (89).jpeg
179,Garbage,No Garbage,Img (89).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (89).jpg
180,Garbage,No Garbage,Img (9).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (9).jpeg
181,Garbage,No Garbage,Img (9).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (9).jpg
182,Garbage,No Garbage,Img (90).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (90).jpeg
183,Garbage,No Garbage,Img (90).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (90).jpg
184,Garbage,No Garbage,Img (91).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (91).jpeg
185,Garbage,No Garbage,Img (91).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (91).jpg
186,Garbage,No Garbage,Img (92).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (92).jpeg
187,Garbage,No Garbage,Img (92).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (92).jpg
188,Garbage,No Garbage,Img (93).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (93).jpeg
189,Garbage,No Garbage,Img (93).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (93).jpg
190,Garbage,No Garbage,Img (94).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (94).jpeg
191,Garbage,No Garbage,Img (94).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (94).jpg
192,Garbage,No Garbage,Img (95).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (95).jpeg
193,Garbage,No Garbage,Img (95).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (95).jpg
194,Garbage,No Garbage,Img (96).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (96).jpeg
195,Garbage,No Garbage,Img (96).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (96).jpg
196,Garbage,No Garbage,Img (97).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (97).jpeg
197,Garbage,No Garbage,Img (97).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (97).jpg
198,Garbage,No Garbage,Img (98).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (98).jpeg
199,Garbage,No Garbage,Img (98).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (98).jpg
200,Garbage,No Garbage,Img (99).jpeg,JPEG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (99).jpeg
201,Garbage,No Garbage,Img (99).jpg,JPG,No,D:\final-project1\final year project\datasets\data\garbage\no\Img (99).jpg
202,Garbage,Has Garbage,IMG (1).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (1).jpg
203,Garbage,Has Garbage,IMG (10).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (10).jpg
204,Garbage,Has Garbage,IMG (100).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (100).jpg
205,Garbage,Has Garbage,IMG (11).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (11).jpg
206,Garbage,Has Garbage,IMG (12).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (12).jpg
207,Garbage,Has Garbage,IMG (13).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (13).jpg
208,Garbage,Has Garbage,IMG (14).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (14).jpg
209,Garbage,Has Garbage,IMG (15).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (15).jpg
210,Garbage,Has Garbage,IMG (16).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (16).jpg
211,Garbage,Has Garbage,IMG (17).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (17).jpg
212,Garbage,Has Garbage,IMG (18).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (18).jpg
213,Garbage,Has Garbage,IMG (19).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (19).jpg
214,Garbage,Has Garbage,IMG (2).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (2).jpg
215,Garbage,Has Garbage,IMG (20).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (20).jpg
216,Garbage,Has Garbage,IMG (21).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (21).jpg
217,Garbage,Has Garbage,IMG (22).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (22).jpg
218,Garbage,Has Garbage,IMG (23).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (23).jpg
219,Garbage,Has Garbage,IMG (24).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (24).jpg
220,Garbage,Has Garbage,IMG (25).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (25).jpg
221,Garbage,Has Garbage,IMG (26).jpg,JPG,Yes,D:\final-project1\final year project\datasets\data\garbage\yes\IMG (26).jpg
